#Iter	Time	Change
0	0.00	3.376097e+02
1	0.00	1.016821e+02
2	0.00	6.593500e+01
3	0.00	4.964855e+01
4	0.00	4.095911e+01
5	0.00	3.474230e+01
6	0.00	3.056719e+01
7	0.00	2.718069e+01
8	0.00	2.444768e+01
9	0.00	2.214541e+01
10	0.00	2.008676e+01
11	0.00	1.831052e+01
12	0.00	1.667159e+01
13	0.00	1.523655e+01
14	0.00	1.388806e+01
15	0.00	1.267613e+01
16	0.00	1.154225e+01
17	0.00	1.051236e+01
18	0.00	9.557215e+00
19	0.00	8.688839e+00
20	0.00	7.890926e+00
21	0.00	7.166098e+00
22	0.00	6.503546e+00
23	0.00	5.901528e+00
24	0.00	5.353465e+00
25	0.00	4.855229e+00
26	0.00	4.403290e+00
27	0.00	3.992191e+00
28	0.00	3.620006e+00
29	0.00	3.281529e+00
30	0.00	2.975369e+00
31	0.00	2.696962e+00
32	0.00	2.445331e+00
33	0.00	2.216536e+00
34	0.00	2.009835e+00
35	0.00	1.821915e+00
36	0.00	1.652186e+00
37	0.00	1.497875e+00
38	0.00	1.358533e+00
39	0.00	1.231836e+00
40	0.00	1.117445e+00
41	0.00	1.013450e+00
42	0.00	9.195280e-01
43	0.00	8.341621e-01
44	0.00	7.570420e-01
45	0.00	6.869545e-01
46	0.00	6.236357e-01
47	0.00	5.660857e-01
48	0.00	5.140789e-01
49	0.00	4.668169e-01
50	0.00	4.240950e-01
51	0.00	3.852763e-01
52	0.00	3.501764e-01
53	0.00	3.182857e-01
54	0.00	2.894416e-01
55	0.00	2.632365e-01
56	0.00	2.395279e-01
57	0.00	2.179897e-01
58	0.00	1.984975e-01
59	0.00	1.807900e-01
60	0.00	1.647598e-01
61	0.00	1.501973e-01
62	0.00	1.370101e-01
63	0.00	1.250297e-01
64	0.00	1.141773e-01
65	0.00	1.043173e-01
66	0.00	9.538254e-02
67	0.00	8.726390e-02
68	0.00	7.990440e-02
69	0.00	7.321604e-02
70	0.00	6.715068e-02
71	0.00	6.163726e-02
72	0.00	5.663522e-02
73	0.00	5.208712e-02
74	0.00	4.795888e-02
75	0.00	4.420403e-02
76	0.00	4.079397e-02
77	0.00	3.769105e-02
78	0.00	3.487136e-02
79	0.00	3.230437e-02
80	0.00	2.997009e-02
81	0.00	2.784375e-02
82	0.00	2.590867e-02
83	0.00	2.414472e-02
84	0.00	2.253803e-02
